species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,biscoe,44.5,15.7,217.0,4875.0,.
Gentoo,biscoe,48.8,16.2,222.0,6000.0,MALE
Gentoo,biscoe,47.2,13.7,214.0,4925.0,FEMALE
Gentoo,biscoe,,,,,
Gentoo,biscoe,46.8,14.3,215.0,4850.0,FEMALE
Gentoo,biscoe,50.4,15.7,222.0,5750.0,MALE
Gentoo,biscoe,45.2,14.8,212.0,5200.0,FEMALE
Gentoo,biscoe,49.9,16.1,213.0,5400.0,MALE
Adelie,torgersen,42.5,18.3,230.0,4300.0,MALE
Gentoo,dream,36.3,14.8,217.0,4725.0,FEMALE
Chinstrap,torgersen,41.1,18.6,196.0,3900.0,MALE
Chinstrap,torgersen,49.9,17.8,199.0,3525.0,FEMALE
Adelie,biscoe,38.6,18.9,208.0,3300.0,FEMALE
Chinstrap,biscoe,49.5,19.9,185.0,5500.0,FEMALE
Adelie,dream,47.0,14.6,198.0,3450.0,MALE
Gentoo,torgersen,36.0,14.8,182.0,4700.0,MALE
Gentoo,biscoe,43.4,16.2,196.0,6000.0,MALE
Adelie,biscoe,39.6,15.3,180.0,3550.0,FEMALE
Chinstrap,dream,41.3,20.8,191.0,3950.0,MALE
Gentoo,torgersen,44.5,19.4,228.0,4250.0,FEMALE
Gentoo,torgersen,49.4,16.5,213.0,4050.0,MALE
Adelie,biscoe,50.2,17.5,212.0,4650.0,MALE
Adelie,dream,35.9,14.2,186.0,3450.0,FEMALE
Chinstrap,torgersen,49.5,17.9,230.0,3450.0,FEMALE
Adelie,biscoe,38.6,17.9,191.0,5400.0,FEMALE
Gentoo,torgersen,34.1,14.8,189.0,3675.0,FEMALE
Chinstrap,torgersen,34.6,17.9,180.0,3175.0,FEMALE
Adelie,dream,39.6,15.6,195.0,3500.0,FEMALE
Chinstrap,biscoe,52.7,17.8,214.0,3750.0,FEMALE
Chinstrap,dream,45.6,16.0,205.0,3875.0,MALE
Adelie,torgersen,41.1,18.1,196.0,4850.0,MALE
Gentoo,dream,38.1,18.5,197.0,4500.0,MALE
Gentoo,torgersen,46.1,13.8,188.0,5500.0,MALE
Gentoo,torgersen,48.1,18.9,198.0,4625.0,MALE
Chinstrap,dream,47.0,14.6,213.0,3075.0,MALE
Adelie,torgersen,38.9,14.5,187.0,3600.0,MALE
Adelie,torgersen,37.8,17.7,210.0,4850.0,MALE
Gentoo,biscoe,37.3,15.0,206.0,4100.0,FEMALE
Adelie,dream,38.9,14.2,196.0,3400.0,MALE
Adelie,dream,45.8,19.8,215.0,4600.0,FEMALE
Adelie,torgersen,40.8,17.9,181.0,4800.0,MALE
Gentoo,dream,43.8,20.7,187.0,3950.0,MALE
Gentoo,dream,37.8,18.4,190.0,5350.0,MALE
Chinstrap,biscoe,44.4,18.1,209.0,3300.0,MALE
Gentoo,dream,48.6,18.9,217.0,4050.0,MALE
Gentoo,torgersen,46.8,15.6,190.0,4850.0,FEMALE
Chinstrap,dream,35.7,13.8,191.0,3900.0,FEMALE
Chinstrap,biscoe,37.8,14.4,216.0,4250.0,FEMALE
Chinstrap,torgersen,51.9,18.1,190.0,4275.0,FEMALE
Chinstrap,biscoe,42.5,13.9,190.0,5050.0,FEMALE
Adelie,dream,37.3,18.6,206.0,2975.0,MALE
Chinstrap,biscoe,48.4,13.5,208.0,3200.0,MALE
Adelie,torgersen,37.8,19.0,192.0,5650.0,MALE
Adelie,torgersen,37.3,17.5,221.0,4300.0,MALE
Chinstrap,torgersen,40.2,15.9,213.0,3150.0,FEMALE
Adelie,torgersen,46.1,16.1,187.0,5300.0,MALE
Chinstrap,biscoe,49.1,21.5,205.0,4675.0,MALE
Gentoo,dream,45.3,16.1,213.0,4850.0,FEMALE
Chinstrap,biscoe,34.1,18.5,221.0,3900.0,FEMALE
Gentoo,dream,44.5,21.2,203.0,3600.0,MALE
Chinstrap,torgersen,48.5,15.8,193.0,5950.0,FEMALE
Adelie,torgersen,48.4,18.7,228.0,3450.0,MALE
Chinstrap,torgersen,34.6,14.7,198.0,4100.0,FEMALE
Gentoo,biscoe,42.5,17.3,183.0,3950.0,FEMALE
Adelie,torgersen,39.0,13.2,184.0,3350.0,FEMALE
Gentoo,biscoe,51.1,17.7,187.0,4750.0,FEMALE
Chinstrap,dream,45.3,18.5,191.0,5950.0,FEMALE
Chinstrap,dream,39.7,20.0,189.0,3800.0,FEMALE
Chinstrap,biscoe,35.6,20.3,196.0,4875.0,MALE
Gentoo,biscoe,36.5,14.5,219.0,6000.0,FEMALE
Gentoo,biscoe,39.6,15.3,196.0,3650.0,FEMALE
Adelie,torgersen,45.7,18.0,222.0,3700.0,FEMALE
Chinstrap,dream,51.0,17.9,210.0,4050.0,MALE
Adelie,biscoe,42.5,14.5,192.0,4950.0,MALE
Chinstrap,torgersen,49.1,13.8,217.0,3325.0,FEMALE
Adelie,biscoe,43.2,17.8,208.0,4750.0,FEMALE
Adelie,dream,46.4,19.8,214.0,3800.0,FEMALE
Chinstrap,dream,48.2,15.1,230.0,4450.0,MALE
Gentoo,dream,41.7,17.1,196.0,5500.0,FEMALE
Gentoo,biscoe,45.5,17.9,188.0,4550.0,MALE
Adelie,dream,45.7,19.1,197.0,5800.0,MALE
Chinstrap,biscoe,39.7,16.3,184.0,3150.0,MALE
Chinstrap,torgersen,44.4,17.0,190.0,3450.0,MALE
Chinstrap,torgersen,47.0,17.2,186.0,3700.0,MALE
Chinstrap,torgersen,35.7,14.6,188.0,3950.0,MALE
Chinstrap,dream,49.5,14.2,207.0,4300.0,MALE
Chinstrap,torgersen,35.9,18.4,205.0,3400.0,FEMALE
Gentoo,biscoe,46.1,16.6,225.0,3750.0,MALE
Chinstrap,dream,49.6,16.6,195.0,3475.0,MALE
Gentoo,biscoe,45.5,21.2,203.0,5600.0,FEMALE
Gentoo,torgersen,41.3,19.0,198.0,4475.0,MALE
Gentoo,biscoe,45.1,16.0,178.0,5000.0,FEMALE
Adelie,biscoe,49.7,18.0,187.0,3525.0,FEMALE
Gentoo,dream,37.7,14.5,215.0,3050.0,FEMALE
Chinstrap,dream,46.4,17.8,181.0,4950.0,FEMALE
Chinstrap,torgersen,49.4,18.6,215.0,3825.0,FEMALE
Gentoo,dream,42.7,13.7,188.0,3950.0,FEMALE
Adelie,biscoe,54.2,18.9,192.0,5250.0,MALE
Gentoo,biscoe,45.9,16.7,212.0,5400.0,FEMALE
Adelie,dream,37.6,16.8,196.0,5850.0,MALE
Chinstrap,biscoe,43.3,15.0,180.0,2900.0,FEMALE
Chinstrap,biscoe,45.6,20.0,190.0,6000.0,MALE
Adelie,dream,46.5,18.7,190.0,3800.0,FEMALE
Gentoo,dream,46.7,15.8,196.0,3300.0,FEMALE
Chinstrap,torgersen,49.3,13.7,203.0,3500.0,FEMALE
Gentoo,biscoe,40.5,17.3,200.0,3500.0,FEMALE
Chinstrap,dream,40.2,17.4,190.0,5100.0,MALE
Gentoo,dream,36.6,14.8,181.0,3800.0,MALE
Adelie,biscoe,40.8,14.5,178.0,4725.0,MALE
Adelie,torgersen,41.1,14.5,221.0,5700.0,MALE
Chinstrap,dream,38.5,19.5,186.0,3775.0,MALE
Adelie,torgersen,51.1,15.0,214.0,4000.0,FEMALE
Chinstrap,torgersen,40.8,19.4,230.0,3450.0,FEMALE
Gentoo,biscoe,37.8,15.9,230.0,3700.0,FEMALE
Gentoo,torgersen,47.7,13.8,190.0,5400.0,MALE
Chinstrap,dream,41.0,16.5,201.0,4250.0,MALE
Chinstrap,dream,35.7,18.6,211.0,3450.0,MALE
Gentoo,biscoe,45.4,18.2,225.0,5550.0,MALE
Chinstrap,biscoe,35.2,14.5,215.0,4300.0,MALE
Gentoo,biscoe,46.5,14.0,186.0,5700.0,MALE
Gentoo,biscoe,46.4,18.4,230.0,3250.0,MALE
Gentoo,biscoe,48.7,16.3,187.0,4750.0,FEMALE
Chinstrap,torgersen,46.1,15.0,228.0,3625.0,MALE
Adelie,torgersen,45.2,14.3,195.0,3675.0,MALE
Gentoo,biscoe,43.5,13.4,195.0,3525.0,MALE
Gentoo,biscoe,35.0,19.0,182.0,3525.0,MALE
Chinstrap,torgersen,45.7,20.3,185.0,4500.0,FEMALE
Gentoo,dream,37.8,19.0,208.0,5250.0,FEMALE
Chinstrap,biscoe,38.9,16.6,188.0,4300.0,FEMALE
Chinstrap,torgersen,47.3,18.5,184.0,4625.0,FEMALE
Chinstrap,dream,50.0,17.5,196.0,3500.0,FEMALE
Adelie,torgersen,36.0,19.8,225.0,4875.0,FEMALE
Chinstrap,dream,50.1,16.5,199.0,3600.0,MALE
Chinstrap,biscoe,44.4,19.8,208.0,4700.0,FEMALE
Adelie,torgersen,39.6,17.1,225.0,4475.0,FEMALE
Gentoo,biscoe,40.7,14.2,185.0,3950.0,FEMALE
Gentoo,biscoe,46.8,18.4,222.0,5150.0,FEMALE
Chinstrap,torgersen,43.8,14.4,216.0,2850.0,MALE
Gentoo,dream,40.9,18.7,200.0,5000.0,MALE
Gentoo,torgersen,46.1,15.7,226.0,4650.0,FEMALE
Adelie,biscoe,50.0,16.6,210.0,3950.0,FEMALE
Gentoo,torgersen,48.4,17.8,218.0,3500.0,FEMALE
Gentoo,torgersen,40.6,18.9,210.0,4975.0,MALE
Chinstrap,biscoe,40.8,18.6,212.0,3550.0,MALE
Chinstrap,torgersen,45.8,17.3,193.0,3800.0,MALE
Chinstrap,torgersen,40.9,15.9,223.0,3450.0,MALE
Adelie,dream,40.6,19.1,220.0,3075.0,MALE
Adelie,torgersen,39.2,14.5,201.0,4850.0,MALE
Chinstrap,biscoe,49.5,18.6,213.0,4350.0,FEMALE
Gentoo,biscoe,40.2,18.6,196.0,3900.0,FEMALE
Chinstrap,dream,50.5,19.0,230.0,4900.0,FEMALE
Gentoo,biscoe,51.5,19.3,217.0,4300.0,FEMALE
Adelie,torgersen,44.1,15.2,190.0,4100.0,MALE
Gentoo,biscoe,50.0,14.8,230.0,3300.0,FEMALE
Adelie,torgersen,51.7,19.0,199.0,3450.0,MALE
Gentoo,torgersen,40.2,20.2,192.0,3350.0,MALE
Adelie,dream,49.0,18.8,192.0,3450.0,FEMALE
Chinstrap,dream,50.5,16.0,185.0,3700.0,FEMALE
